INSERT INTO cainiao.storage (userPhone, id, packageStatus) VALUES
('14741647610', '00000000000000000220', '待取件'),
('15379795911', '00000000000000000221', '已取件'),
('18068409160', '00000000000000000222', '待入库'),
('18031427661', '00000000000000000223', '待入库'),
('13699107237', '00000000000000000224', '待入库'),
('18928015486', '00000000000000000225', '待入库'),
('18121736142', '00000000000000000226', '已取件'),
('15128639179', '00000000000000000227', '待取件'),
('13342639994', '00000000000000000228', '待入库'),
('13638927054', '00000000000000000229', '待入库'),
('13595227424', '00000000000000000230', '待取件'),
('13424868753', '00000000000000000231', '待入库'),
('13119054338', '00000000000000000232', '已取件'),
('13595227424', '00000000000000000233', '已取件'),
('13638927054', '00000000000000000234', '待取件'),
('15650311419', '00000000000000000235', '待取件'),
('14766491612', '00000000000000000236', '待入库'),
('18117983664', '00000000000000000237', '待取件'),
('18121736142', '00000000000000000238', '已取件'),
('14592814283', '00000000000000000239', '待入库'),
('15934457160', '00000000000000000240', '已取件'),
('14592814283', '00000000000000000241', '待入库'),
('13595227424', '00000000000000000242', '已取件'),
('13096256645', '00000000000000000243', '已取件'),
('15934457160', '00000000000000000244', '待取件'),
('18582692491', '00000000000000000245', '待入库'),
('13728678327', '00000000000000000246', '待入库'),
('18280099255', '00000000000000000247', '已取件'),
('18117983664', '00000000000000000248', '已取件'),
('18036187372', '00000000000000000249', '待取件'),
('13424868753', '00000000000000000250', '已取件'),
('13424868753', '00000000000000000251', '待入库'),
('15093555563', '00000000000000000252', '待取件'),
('18952620628', '00000000000000000253', '已取件'),
('18250762790', '00000000000000000254', '待入库'),
('15763696254', '00000000000000000255', '待取件'),
('18117983664', '00000000000000000256', '待取件'),
('15650311419', '00000000000000000257', '待取件'),
('15379795911', '00000000000000000258', '待取件'),
('13331492275', '00000000000000000259', '已取件'),
('15829713047', '00000000000000000260', '待入库'),
('15514482304', '00000000000000000261', '待取件'),
('18952620628', '00000000000000000262', '待取件'),
('15673362191', '00000000000000000263', '待取件'),
('15514482304', '00000000000000000264', '已取件'),
('18236759424', '00000000000000000265', '已取件'),
('13595227424', '00000000000000000266', '待取件'),
('13674851181', '00000000000000000267', '待入库'),
('14741647610', '00000000000000000268', '待取件'),
('18831891002', '00000000000000000269', '待取件'),
('13638927054', '00000000000000000270', '待取件'),
('15934457160', '00000000000000000271', '已取件'),
('13674851181', '00000000000000000272', '待取件'),
('18068409160', '00000000000000000273', '待入库'),
('14741647610', '00000000000000000274', '待取件'),
('13119054338', '00000000000000000275', '已取件'),
('18952620628', '00000000000000000276', '待取件'),
('18633617771', '00000000000000000277', '待取件'),
('15379795911', '00000000000000000278', '已取件'),
('13036487291', '00000000000000000279', '待取件'),
('18831891002', '00000000000000000280', '待取件'),
('15934457160', '00000000000000000281', '已取件'),
('13595227424', '00000000000000000282', '待取件'),
('18280099255', '00000000000000000283', '待入库'),
('13036487291', '00000000000000000284', '待取件'),
('15673362191', '00000000000000000285', '待入库'),
('15379795911', '00000000000000000286', '待入库'),
('18802835970', '00000000000000000287', '待取件'),
('13699107237', '00000000000000000288', '待取件'),
('18132958838', '00000000000000000289', '待取件'),
('13119054338', '00000000000000000290', '待取件'),
('14535642779', '00000000000000000291', '已取件'),
('18236759424', '00000000000000000292', '待取件'),
('14535642779', '00000000000000000293', '已取件'),
('13595227424', '00000000000000000294', '已取件'),
('18117983664', '00000000000000000295', '待入库'),
('14535642779', '00000000000000000296', '待入库'),
('13424868753', '00000000000000000297', '已取件'),
('13331492275', '00000000000000000298', '待取件'),
('18068409160', '00000000000000000299', '待取件'),
('13595227424', '00000000000000000300', '待取件'),
('18036187372', '00000000000000000301', '待入库'),
('18121736142', '00000000000000000302', '已取件'),
('18952620628', '00000000000000000303', '待取件'),
('15934457160', '00000000000000000304', '待入库'),
('14592814283', '00000000000000000305', '已取件'),
('13193950139', '00000000000000000306', '待取件'),
('13674851181', '00000000000000000307', '已取件'),
('18952620628', '00000000000000000308', '待取件'),
('14535642779', '00000000000000000309', '待取件'),
('18928015486', '00000000000000000310', '待取件'),
('13595227424', '00000000000000000311', '待取件'),
('18031427661', '00000000000000000312', '已取件'),
('13424868753', '00000000000000000313', '待取件'),
('18236759424', '00000000000000000314', '待取件'),
('15736514637', '00000000000000000315', '待取件'),
('13313505787', '00000000000000000316', '待取件'),
('18068409160', '00000000000000000317', '已取件'),
('14741647610', '00000000000000000318', '待入库'),
('18928015486', '00000000000000000319', '待取件'),
('18236759424', '00000000000000000320', '待入库'),
('13193950139', '00000000000000000321', '待入库'),
('18831891002', '00000000000000000322', '已取件'),
('18582692491', '00000000000000000323', '待取件'),
('13342639994', '00000000000000000324', '待取件'),
('14592814283', '00000000000000000325', '已取件'),
('13454018322', '00000000000000000326', '已取件'),
('18091293106', '00000000000000000327', '已取件'),
('18831891002', '00000000000000000328', '已取件'),
('13699107237', '00000000000000000329', '待取件'),
('18250762790', '00000000000000000330', '待入库'),
('13638927054', '00000000000000000331', '已取件'),
('15763696254', '00000000000000000332', '已取件'),
('13424868753', '00000000000000000333', '待入库'),
('14583323002', '00000000000000000334', '已取件'),
('18952620628', '00000000000000000335', '已取件'),
('15736514637', '00000000000000000336', '已取件'),
('18928015486', '00000000000000000337', '待取件'),
('14741647610', '00000000000000000338', '已取件'),
('18831891002', '00000000000000000339', '待取件'),
('18633617771', '00000000000000000340', '待入库'),
('13328660971', '00000000000000000341', '已取件'),
('18250762790', '00000000000000000342', '待入库'),
('14583323002', '00000000000000000343', '待入库'),
('13036487291', '00000000000000000344', '待取件'),
('18928015486', '00000000000000000345', '待入库'),
('15763696254', '00000000000000000346', '待入库'),
('15514482304', '00000000000000000347', '待入库'),
('13915660239', '00000000000000000348', '已取件'),
('13328660971', '00000000000000000349', '待入库'),
('13342639994', '00000000000000000350', '待入库'),
('18280099255', '00000000000000000351', '已取件'),
('15755032879', '00000000000000000352', '待入库'),
('18739972062', '00000000000000000353', '待入库'),
('18928015486', '00000000000000000354', '待入库'),
('13313505787', '00000000000000000355', '待取件'),
('18091293106', '00000000000000000356', '待取件'),
('13328660971', '00000000000000000357', '已取件'),
('14592814283', '00000000000000000358', '待入库'),
('15673362191', '00000000000000000359', '已取件'),
('15128639179', '00000000000000000360', '待取件'),
('18952620628', '00000000000000000361', '已取件'),
('13638927054', '00000000000000000362', '待入库'),
('13674851181', '00000000000000000363', '已取件'),
('15829713047', '00000000000000000364', '待取件'),
('13454018322', '00000000000000000365', '已取件'),
('13563537603', '00000000000000000366', '已取件'),
('18739972062', '00000000000000000367', '待取件'),
('18633617771', '00000000000000000368', '已取件'),
('13036487291', '00000000000000000369', '待入库'),
('15379795911', '00000000000000000370', '待入库'),
('14741647610', '00000000000000000371', '待入库'),
('15514482304', '00000000000000000372', '已取件'),
('15128639179', '00000000000000000373', '待入库'),
('18132958838', '00000000000000000374', '待取件'),
('18031427661', '00000000000000000375', '已取件'),
('13563537603', '00000000000000000376', '待入库'),
('18068409160', '00000000000000000377', '待取件'),
('18802835970', '00000000000000000378', '待取件'),
('15755032879', '00000000000000000379', '已取件'),
('13728678327', '00000000000000000380', '待入库'),
('18280099255', '00000000000000000381', '待入库'),
('13915660239', '00000000000000000382', '待入库'),
('18236759424', '00000000000000000383', '待入库'),
('18802835970', '00000000000000000384', '待取件'),
('18928015486', '00000000000000000385', '待入库'),
('15514482304', '00000000000000000386', '已取件'),
('18036187372', '00000000000000000387', '已取件'),
('13454018322', '00000000000000000388', '待取件'),
('18036187372', '00000000000000000389', '待取件'),
('15093555563', '00000000000000000390', '待入库'),
('18031427661', '00000000000000000391', '已取件'),
('13638927054', '00000000000000000392', '待入库'),
('15093555563', '00000000000000000393', '已取件'),
('13036487291', '00000000000000000394', '待取件'),
('13563537603', '00000000000000000395', '已取件'),
('18236759424', '00000000000000000396', '待取件'),
('13638927054', '00000000000000000397', '待入库'),
('15763696254', '00000000000000000398', '待入库'),
('18831891002', '00000000000000000399', '待取件'),
('18091293106', '00000000000000000400', '已取件'),
('13331492275', '00000000000000000401', '已取件'),
('15736514637', '00000000000000000402', '待取件'),
('18280099255', '00000000000000000403', '已取件'),
('18250762790', '00000000000000000404', '待入库'),
('13728678327', '00000000000000000405', '待取件'),
('14766491612', '00000000000000000406', '已取件'),
('13424868753', '00000000000000000407', '已取件'),
('15829713047', '00000000000000000408', '待取件'),
('18036187372', '00000000000000000409', '待取件'),
('18250762790', '00000000000000000410', '待取件'),
('18250762790', '00000000000000000411', '已取件'),
('18802835970', '00000000000000000412', '待取件'),
('18121736142', '00000000000000000413', '待入库'),
('18132958838', '00000000000000000414', '待取件'),
('13119054338', '00000000000000000415', '待取件'),
('18036187372', '00000000000000000416', '待取件'),
('18036187372', '00000000000000000417', '待取件'),
('18250762790', '00000000000000000418', '已取件'),
('13424868753', '00000000000000000419', '待取件'),
('18236759424', '00000000000000000420', '已取件'),
('18250762790', '00000000000000000421', '已取件'),
('13454018322', '00000000000000000422', '待入库'),
('15093555563', '00000000000000000423', '待入库'),
('18121736142', '00000000000000000424', '待入库'),
('13728678327', '00000000000000000425', '待取件'),
('15934457160', '00000000000000000426', '已取件'),
('13638927054', '00000000000000000427', '待取件'),
('13563537603', '00000000000000000428', '已取件'),
('13331492275', '00000000000000000429', '已取件'),
('18831891002', '00000000000000000430', '待入库'),
('13638927054', '00000000000000000431', '待取件'),
('14535642779', '00000000000000000432', '待入库'),
('15934457160', '00000000000000000433', '待入库'),
('13595227424', '00000000000000000434', '待取件'),
('14766491612', '00000000000000000435', '待取件'),
('18236759424', '00000000000000000436', '已取件'),
('15736514637', '00000000000000000437', '待入库'),
('13674851181', '00000000000000000438', '待入库'),
('15829713047', '00000000000000000439', '已取件'),
('18831891002', '00000000000000000440', '待入库'),
('14741647610', '00000000000000000441', '已取件'),
('14741647610', '00000000000000000442', '待入库'),
('13036487291', '00000000000000000443', '待取件'),
('13328660971', '00000000000000000444', '待取件'),
('18582692491', '00000000000000000445', '待取件'),
('13454018322', '00000000000000000446', '已取件'),
('13563537603', '00000000000000000447', '待入库'),
('15379795911', '00000000000000000448', '已取件'),
('13036487291', '00000000000000000449', '待入库'),
('18091293106', '00000000000000000450', '已取件'),
('15755032879', '00000000000000000451', '待入库'),
('15736514637', '00000000000000000452', '已取件'),
('18068409160', '00000000000000000453', '待取件'),
('13331492275', '00000000000000000454', '待入库'),
('15514482304', '00000000000000000455', '待入库'),
('13454018322', '00000000000000000456', '已取件'),
('18739972062', '00000000000000000457', '已取件'),
('15128639179', '00000000000000000458', '待取件'),
('18068409160', '00000000000000000459', '待取件'),
('18582692491', '00000000000000000460', '待入库'),
('18250762790', '00000000000000000461', '待取件'),
('15128639179', '00000000000000000462', '待取件'),
('13915660239', '00000000000000000463', '待入库'),
('18132958838', '00000000000000000464', '待入库'),
('15128639179', '00000000000000000465', '待入库'),
('18280099255', '00000000000000000466', '待取件'),
('13331492275', '00000000000000000467', '已取件'),
('18952620628', '00000000000000000468', '已取件'),
('15763696254', '00000000000000000469', '待入库'),
('13342639994', '00000000000000000470', '待取件'),
('13036487291', '00000000000000000471', '待取件'),
('15755032879', '00000000000000000472', '已取件'),
('15736514637', '00000000000000000473', '待入库'),
('15673362191', '00000000000000000474', '待入库'),
('13193950139', '00000000000000000475', '待入库'),
('15736514637', '00000000000000000476', '已取件'),
('18121736142', '00000000000000000477', '待取件'),
('18582692491', '00000000000000000478', '已取件'),
('13096256645', '00000000000000000479', '待取件'),
('15736514637', '00000000000000000480', '待取件'),
('13454018322', '00000000000000000481', '已取件'),
('18068409160', '00000000000000000482', '待入库'),
('15934457160', '00000000000000000483', '待入库'),
('13342639994', '00000000000000000484', '待取件'),
('14741647610', '00000000000000000485', '已取件'),
('15673362191', '00000000000000000486', '待入库'),
('18739972062', '00000000000000000487', '待入库'),
('18739972062', '00000000000000000488', '待取件'),
('13454018322', '00000000000000000489', '待取件'),
('13595227424', '00000000000000000490', '待入库'),
('13595227424', '00000000000000000491', '待入库'),
('13096256645', '00000000000000000492', '待取件'),
('18739972062', '00000000000000000493', '待取件'),
('18633617771', '00000000000000000494', '已取件'),
('13915660239', '00000000000000000495', '待取件'),
('18952620628', '00000000000000000496', '已取件'),
('13424868753', '00000000000000000497', '已取件'),
('13595227424', '00000000000000000498', '待取件'),
('18121736142', '00000000000000000499', '已取件');
